"","pce","pop","psavert","uempmed","unemploy"
"1",506.7,198712,12.6,4.5,2944
"2",509.8,198911,12.6,4.7,2945
"3",515.6,199113,11.9,4.6,2958
"4",512.2,199311,12.9,4.9,3143
"5",517.4,199498,12.8,4.7,3066
"6",525.1,199657,11.8,4.8,3018
"7",530.9,199808,11.7,5.1,2878
"8",533.6,199920,12.3,4.5,3001
"9",544.3,200056,11.7,4.1,2877
"10",544,200208,12.3,4.6,2709
"11",549.8,200361,12,4.4,2740
"12",556.3,200536,11.7,4.4,2938
"13",563.2,200706,10.7,4.5,2883
"14",567,200898,10.5,4.2,2768
"15",568.2,201095,10.6,4.6,2686
"16",571.6,201290,10.8,4.8,2689
"17",576.7,201466,10.6,4.4,2715
"18",576.5,201621,11.1,4.4,2685
"19",583.5,201760,10.3,4.4,2718
"20",588.7,201881,9.7,4.9,2692
"21",588.9,202023,10.2,4,2712
"22",593.9,202161,9.7,4,2758
"23",600.3,202331,10.1,4.2,2713
"24",600.9,202507,11.1,4.4,2816
"25",602.7,202677,11.8,4.4,2868
"26",609.9,202877,11.5,4.4,2856
"27",613.2,203090,11.6,4.7,3040
"28",618.5,203302,11.4,4.5,3049
"29",620.5,203500,11.6,4.8,2856
"30",622.8,203675,11.8,4.6,2884
"31",628.7,203849,11.8,4.6,3201
"32",634,204008,11.7,4.5,3453
"33",632.3,204156,12.4,4.6,3635
"34",636,204401,13.3,4.1,3797
"35",642.4,204607,12.4,4.7,3919
"36",646.3,204830,12.3,4.9,4071
"37",648.5,205052,13.5,5.1,4175
"38",652.9,205295,13.4,5.4,4256
"39",659.1,205540,12.9,5.2,4456
"40",658.3,205788,13.1,5.2,4591
"41",656.6,206024,13.6,5.6,4898
"42",665.6,206238,13.2,5.9,5076
"43",676.1,206466,13.3,6.2,4986
"44",679.4,206668,13.3,6.3,4903
"45",682,206855,13.5,6.4,4987
"46",688.8,207065,13.2,6.5,4959
"47",691.1,207260,13.6,6.7,4996
"48",699.8,207462,14.7,5.7,4949
"49",698.9,207661,13.8,6.2,5035
"50",704.9,207881,13.6,6.4,5134
"51",713,208114,13.3,5.8,5042
"52",715.8,208345,13.3,6.5,4954
"53",720.9,208555,13.1,6.4,5161
"54",728.4,208740,13,6.2,5154
"55",731.5,208917,12.5,6.2,5019
"56",736.2,209061,12.8,6.6,4928
"57",749.2,209212,11.8,6.6,5038
"58",752.5,209386,11.5,6.7,4959
"59",758,209545,11.7,6.6,4922
"60",761.6,209725,11.7,5.4,4923
"61",769.9,209896,11.7,6.1,4913
"62",776.3,210075,12,6,4939
"63",781.1,210278,12.2,5.6,4849
"64",794.9,210479,13,5.7,4875
"65",800.5,210656,13.6,5.7,4602
"66",806.1,210821,13.7,6.1,4543
"67",816.5,210985,12.4,5.7,4326
"68",825.8,211120,12.5,5.2,4452
"69",832.8,211254,12.7,5.5,4394
"70",835.7,211420,13.2,5,4459
"71",841.6,211577,13.2,4.9,4329
"72",844.3,211746,13.6,5,4363
"73",854.1,211909,13.2,5.2,4305
"74",853.3,212092,13.9,4.9,4305
"75",869.2,212289,13.1,5.4,4350
"76",868.2,212475,14.4,5.5,4144
"77",876.9,212634,14.4,5.1,4396
"78",876.6,212785,14.8,4.7,4489
"79",884.5,212932,14.3,5,4644
"80",889.7,213074,14.2,5.1,4731
"81",901.4,213211,13.4,4.8,4634
"82",910.8,213361,13.1,5,4618
"83",922.4,213513,12.8,4.6,4705
"84",928,213686,12.8,5.3,4927
"85",937.9,213854,12.8,5.7,5063
"86",954.8,214042,12.1,5,5022
"87",955.1,214246,12.9,5.3,5437
"88",959.2,214451,13.4,5.5,5523
"89",956.2,214625,13.8,5.2,6140
"90",961.8,214782,14,5.7,6636
"91",975.6,214931,13.2,6.3,7501
"92",989.4,215065,12.5,7.1,7520
"93",990.6,215198,12.7,7.2,7978
"94",995,215353,14.2,8.7,8210
"95",1018.9,215523,17.3,9.4,8433
"96",1026.8,215768,14.3,8.8,8220
"97",1039.8,215973,12.6,8.6,8127
"98",1047,216195,13,9.2,7928
"99",1054.8,216393,13,9.2,7923
"100",1060.9,216587,13.4,8.6,7897
"101",1075.8,216771,12.7,9.5,7794
"102",1092.1,216931,12,9,7744
"103",1107.1,217095,11.7,9,7534
"104",1107.7,217249,12.3,8.2,7326
"105",1114.9,217381,12.2,8.7,7230
"106",1125.4,217528,11.7,8.2,7330
"107",1122.7,217685,12.3,8.3,7053
"108",1140.5,217861,11.4,7.8,7322
"109",1149.6,218035,11.7,7.7,7490
"110",1158,218233,11.7,7.9,7518
"111",1168.8,218440,11.4,7.8,7380
"112",1176.8,218644,11.1,7.7,7430
"113",1189,218834,11.4,8.4,7620
"114",1211.5,219006,10.6,8,7545
"115",1215,219179,10.6,7.5,7280
"116",1231.3,219344,9.3,7.2,7443
"117",1238.3,219504,10.5,7.2,7307
"118",1247.3,219684,10.5,7.3,7059
"119",1257.1,219859,10.3,7.9,6911
"120",1263.6,220046,10.6,6.2,7134
"121",1280.5,220239,10.5,7.1,6829
"122",1285.7,220458,10.9,7,6925
"123",1294.5,220688,11.1,6.7,6751
"124",1311.4,220904,11,6.9,6763
"125",1327,221109,11.2,7,6815
"126",1336,221303,11.4,6.8,6386
"127",1329.5,221477,11.9,6.5,6489
"128",1355.1,221629,11.1,6.7,6318
"129",1377.5,221792,11,6.2,6337
"130",1396.4,221991,10.8,6.1,6180
"131",1412,222176,10.3,5.7,6127
"132",1425.8,222379,10,6,6028
"133",1426.8,222585,10.9,5.8,6309
"134",1447,222805,10.5,5.8,6080
"135",1452.9,223053,10.6,5.6,6125
"136",1466.9,223271,10.7,5.9,5947
"137",1480.6,223477,10.5,5.5,6077
"138",1496.5,223670,10.4,5.6,6228
"139",1502.4,223865,11.1,5.9,6109
"140",1517.8,224053,11.1,5.9,6173
"141",1531.2,224235,11.2,5.9,6109
"142",1538.4,224438,11,5.4,6069
"143",1558.8,224632,10.3,5.6,5840
"144",1575.7,224843,9.9,5.6,5959
"145",1586.1,225055,10.6,5.9,5996
"146",1615.6,225295,9.7,4.8,6320
"147",1633.9,225547,9.4,5.5,6190
"148",1641.6,225801,9.7,5.5,6296
"149",1657.3,226027,9.7,5.3,6238
"150",1666.3,226243,10.1,5.7,6325
"151",1697.3,226451,9.9,5.3,6683
"152",1701.4,226656,10.1,5.8,6702
"153",1708.2,226849,10.2,6,6729
"154",1695.2,227061,11.3,5.8,7358
"155",1700.1,227251,11.4,5.7,7984
"156",1718.8,227522,11.2,6.4,8098
"157",1747.1,227726,11.3,7,8363
"158",1763.8,227953,11.3,7.5,8281
"159",1780.5,228186,11.7,7.7,8021
"160",1817.1,228417,11.3,7.5,8088
"161",1826.8,228612,11.6,7.7,8023
"162",1851.7,228779,11.4,7.5,7718
"163",1870,228937,10.9,7.4,8071
"164",1884.2,229071,10.8,7.1,8051
"165",1902.9,229224,10.8,7.1,7982
"166",1904.4,229403,10.9,7.4,7869
"167",1913.8,229575,11,6.9,8174
"168",1934.5,229761,10.8,6.6,8098
"169",1942.1,229966,12.3,7.1,7863
"170",1966.6,230187,12,7.2,8036
"171",1965.5,230412,12.4,6.8,8230
"172",1963.9,230641,13,6.8,8646
"173",1970.6,230822,13.2,6.9,9029
"174",1988.8,230989,12.5,6.9,9267
"175",1997.1,231157,12.7,7.1,9397
"176",2021.2,231313,12.1,7.5,9705
"177",2024.1,231470,12.2,7.7,9895
"178",2026.3,231645,12.9,8.1,10244
"179",2044.5,231809,12.3,8.5,10335
"180",2048.1,231992,12.3,9.5,10538
"181",2072.2,232188,12.5,8.5,10849
"182",2080.1,232392,12.6,8.7,10881
"183",2104.6,232599,11.8,9.5,11217
"184",2125.8,232816,11.3,9.7,11529
"185",2149.3,232993,10.9,10,11938
"186",2161.6,233160,10.9,10.2,12051
"187",2174,233322,11.1,11.1,11534
"188",2177,233473,11.1,9.8,11545
"189",2202.8,233613,10.6,10.4,11408
"190",2226.4,233781,10.3,10.9,11268
"191",2245.9,233922,9.9,12.3,11154
"192",2276,234118,9.1,11.3,11246
"193",2304.4,234307,9.6,10.1,10548
"194",2320.4,234501,9.2,9.3,10623
"195",2334.9,234701,9.6,9.3,10282
"196",2357.6,234907,9.7,9.4,9887
"197",2366.3,235078,10.3,9.3,9499
"198",2393.6,235235,10.1,8.7,9331
"199",2419.4,235385,10,9.1,9008
"200",2403.5,235527,11.7,8.3,8791
"201",2431.6,235675,11.5,8.3,8746
"202",2457.5,235839,11.5,8.2,8762
"203",2474.5,235993,11.1,9.1,8456
"204",2495.6,236160,11.1,7.5,8226
"205",2494.6,236348,11.6,7.5,8537
"206",2512.2,236549,11.8,7.3,8519
"207",2533.8,236760,11.8,7.6,8367
"208",2531.3,236976,11.7,7.2,8381
"209",2571.4,237159,10.9,7.2,8198
"210",2582.6,237316,11.2,7.3,8358
"211",2618.8,237468,10.3,6.8,8423
"212",2640.8,237602,9.1,7.1,8321
"213",2648.5,237732,8.7,7.1,8339
"214",2659.5,237900,9.9,6.9,8395
"215",2696.4,238074,11.1,6.9,8302
"216",2689.4,238270,9.6,6.6,8460
"217",2715.7,238466,9.1,6.9,8513
"218",2752.1,238679,8.2,7.1,8196
"219",2794.7,238898,7.3,6.9,8248
"220",2755.8,239113,9.1,7.1,8298
"221",2771.1,239307,9,7,8128
"222",2811.3,239477,8.6,6.8,8138
"223",2827.1,239638,8.6,6.7,7795
"224",2820.2,239788,9.3,6.9,8402
"225",2823.6,239928,9.9,6.8,8383
"226",2835.2,240094,9.7,6.7,8364
"227",2857.5,240271,9.3,6.8,8439
"228",2861.7,240459,9.4,7,8508
"229",2881.2,240651,9.3,6.9,8319
"230",2898.6,240854,9,7.1,8135
"231",2971.8,241068,7.2,7.4,8310
"232",2932.9,241274,8.4,7,8243
"233",2928.4,241467,8.8,7.1,8159
"234",2997.1,241620,7,7.1,7883
"235",2935.5,241784,9.7,6.9,7892
"236",3001.7,241930,8.5,6.6,7865
"237",3013.3,242079,8.5,6.6,7862
"238",3038.8,242252,4.5,7.1,7542
"239",3048.4,242423,8.2,6.6,7574
"240",3072.8,242608,7.7,6.5,7398
"241",3094.7,242804,7.5,6.5,7268
"242",3130.8,243012,7.2,6.4,7261
"243",3126.5,243223,7.6,6,7102
"244",3134.5,243446,8.3,6.3,7227
"245",3144.2,243639,8.5,6.2,7035
"246",3174.1,243809,8.7,6,6936
"247",3213.7,243981,8.1,6.2,6953
"248",3221.4,244131,8.6,6.3,6929
"249",3260.5,244279,8.2,6.4,6876
"250",3263,244445,8.8,5.9,6601
"251",3293.6,244610,8.4,5.9,6779
"252",3318.5,244806,8.4,5.8,6546
"253",3342.7,245021,8.6,6.1,6605
"254",3368,245240,8.4,5.9,6843
"255",3375,245464,8.9,5.7,6604
"256",3413.7,245693,8.6,5.6,6568
"257",3430.2,245884,8.4,5.7,6537
"258",3459.7,246056,8.3,5.9,6518
"259",3483.7,246224,8.5,5.6,6682
"260",3488,246378,9,5.4,6359
"261",3498.8,246530,9.5,5.4,6205
"262",3543,246721,8.4,5.4,6468
"263",3551.8,246906,8.1,5.3,6375
"264",3566.6,247114,8.2,5.4,6577
"265",3585.7,247342,8.2,5.6,6495
"266",3620.6,247573,7.6,5,6511
"267",3621.9,247816,8.1,4.9,6590
"268",3633.6,248067,8.5,4.9,6630
"269",3643.3,248281,8.6,4.8,6725
"270",3684.2,248479,7.8,4.9,6667
"271",3730.7,248659,8,5.1,6752
"272",3728.2,248827,8.6,5.3,6651
"273",3754.9,249012,8.3,5.1,6598
"274",3770,249306,8.8,4.8,6797
"275",3775.8,249565,8.7,5.2,6742
"276",3804.5,249849,8.6,5.2,6590
"277",3821.7,250132,8.7,5.4,6922
"278",3848.3,250439,8.1,5.4,7188
"279",3870.1,250751,8.1,5.6,7368
"280",3870.6,251057,7.8,5.8,7459
"281",3871.9,251346,7.9,5.7,7764
"282",3861.3,251626,8.8,5.9,7901
"283",3841,251889,9.3,6,8015
"284",3866.7,252135,8.8,6.2,8265
"285",3913,252372,8,6.7,8586
"286",3907.1,252643,8.6,6.6,8439
"287",3933.2,252913,8.4,6.4,8736
"288",3940.5,253207,8.9,6.9,8692
"289",3966,253493,8.2,7,8586
"290",3969.1,253807,8.6,7.3,8666
"291",3984.7,254126,8.8,6.8,8722
"292",3976,254435,9.3,7.2,8842
"293",4003.6,254718,9,7.5,8931
"294",4020.5,254964,9.7,7.8,9198
"295",4084.7,255214,9.4,8.1,9283
"296",4099.5,255448,9.8,8.2,9454
"297",4117,255703,9.7,8.3,9460
"298",4131.5,255992,9.9,8.5,9415
"299",4158.4,256285,9.9,8.8,9744
"300",4177.1,256589,10.1,8.7,10040
"301",4204.8,256894,9.6,8.6,9850
"302",4220.9,257232,9.7,8.8,9787
"303",4255.3,257548,8.7,8.6,9781
"304",4284.7,257861,8,9,9398
"305",4300.5,258147,8,9,9565
"306",4336.4,258413,10.6,9.3,9557
"307",4340.7,258679,8.6,8.6,9325
"308",4355.3,258919,8.9,8.5,9183
"309",4352.5,259152,8.9,8.5,9056
"310",4393.4,259414,8.7,8.4,9110
"311",4422.4,259680,8.3,8.1,9149
"312",4440,259963,7.8,8.3,9121
"313",4468.9,260255,7.6,8.2,8930
"314",4481.1,260566,7.7,8.2,8763
"315",4511.5,260867,6.9,8.3,8714
"316",4532.8,261163,6.3,8,8750
"317",4554.1,261425,6.3,8.3,8542
"318",4571.1,261674,9.1,8.3,8477
"319",4585.1,261919,7.1,8.6,8630
"320",4632.6,262123,6.5,9.2,8583
"321",4646,262352,6.8,9.3,8470
"322",4671.1,262631,6.4,9.1,8331
"323",4669.5,262877,7.6,9.2,7915
"324",4708.9,263152,6.9,9.3,7927
"325",4720.6,263436,7,9,7946
"326",4762.6,263724,6.5,8.9,7933
"327",4775,264017,6.8,9.2,7734
"328",4812.9,264301,7.1,10,7632
"329",4825.6,264559,7,9,7375
"330",4841.6,264804,7.2,8.7,7230
"331",4851.2,265044,7.5,8,7375
"332",4850.8,265270,7.8,8.1,7187
"333",4885.4,265495,7.5,8.3,7153
"334",4890.2,265755,6.9,8.3,7645
"335",4933.1,265998,7.1,9.1,7430
"336",4977.5,266270,6.7,7.9,7427
"337",4970.2,266557,7.1,8.5,7527
"338",5005.3,266843,6.7,8.3,7484
"339",5020.5,267152,6.8,7.9,7478
"340",5013.9,267456,7.1,8.2,7328
"341",5055.6,267715,6.6,8,7426
"342",5097.5,267943,6.1,8.3,7423
"343",5085.7,268151,6.7,8.3,7491
"344",5132.8,268364,6.7,7.8,7313
"345",5173.3,268595,6.6,8.3,7318
"346",5208,268853,5.7,8.6,7415
"347",5223.8,269108,6.7,8.6,7423
"348",5229.8,269386,7.1,8.3,7095
"349",5251.9,269667,6.7,8.3,7337
"350",5275,269976,6.6,8.4,6882
"351",5296.6,270284,6.7,8.5,6979
"352",5328.5,270581,6.4,8.3,7031
"353",5351.2,270878,6.4,7.7,7236
"354",5378.6,271125,6.4,7.8,7253
"355",5411.1,271360,6.2,7.8,7158
"356",5434,271585,6.2,8.1,7102
"357",5454.2,271821,6.4,7.9,7000
"358",5459.3,272083,6.5,8.3,6873
"359",5460.2,272342,6.8,8,6655
"360",5494.2,272622,6.6,8,6799
"361",5548.8,272912,6.1,8.3,6655
"362",5587,273237,6,7.8,6608
"363",5601.7,273553,6.2,8.2,6656
"364",5637.7,273852,6.2,7.7,6454
"365",5661.1,274126,6.4,7.6,6308
"366",5692.1,274372,6.4,7.5,6476
"367",5689.9,274626,7.4,7.4,6368
"368",5723.8,274838,7.4,7,6306
"369",5750.3,275047,7.5,6.8,6422
"370",5788.1,275304,7.2,6.7,5941
"371",5837.9,275564,6.9,6,6047
"372",5871.7,275836,6.8,6.9,6212
"373",5890,276115,6.9,6.7,6259
"374",5925,276418,6.8,6.8,6179
"375",5965.6,276714,6.4,6.7,6300
"376",5998.8,277003,6.2,5.8,6280
"377",6015.4,277277,6.3,6.6,6100
"378",6070.5,277526,5.8,6.8,6032
"379",6072.9,277790,6.4,6.9,5976
"380",6101.8,277992,6.2,6.8,6111
"381",6132.9,278198,5.9,6.8,5783
"382",6196.2,278451,5.2,6.2,6004
"383",6225.7,278717,4.9,6.5,5796
"384",6254,279001,4.8,6.3,5951
"385",6281.5,279295,4.8,5.8,6025
"386",6326.5,279602,4.7,6.5,5838
"387",6378.8,279903,4.2,6,5915
"388",6402.1,280203,4.6,6.1,5778
"389",6437.9,280471,4.8,6.2,5716
"390",6538.7,280716,4.4,5.8,5653
"391",6535.3,280976,5.4,5.8,5708
"392",6619.7,281190,4.8,6.1,5858
"393",6685.8,281409,4.5,6,5733
"394",6671.1,281653,5,6.1,5481
"395",6707.6,281877,4.9,5.8,5758
"396",6743.9,282126,4.9,5.7,5651
"397",6764.1,282385,5.2,6,5747
"398",6799.1,282653,5.2,6.3,5853
"399",6882.9,282932,4.5,5.2,5625
"400",6888.2,283201,4.6,6.1,5534
"401",6902.4,283453,4.5,6.1,5639
"402",6945.7,283696,4.2,6,5634
"403",6977,283920,4.8,5.8,6023
"404",6995.8,284137,4.9,6.1,6089
"405",6987.9,284350,5.3,6.6,6141
"406",7001.2,284581,5,5.9,6271
"407",7047.1,284810,4.5,6.3,6226
"408",7060.7,285062,4.5,6,6484
"409",7072.2,285309,5.6,6.8,6583
"410",7108.9,285570,6.8,6.9,7042
"411",7012.8,285843,7,7.2,7142
"412",7208.4,286098,3.4,7.3,7694
"413",7167.9,286341,4.1,7.7,8003
"414",7147.7,286570,4.5,8.2,8258
"415",7174.3,286788,6.1,8.4,8182
"416",7218.3,286994,5.8,8.3,8215
"417",7237.2,287190,5.9,8.4,8304
"418",7305.4,287397,5.8,8.9,8599
"419",7282.7,287623,6.5,9.5,8399
"420",7318.2,287864,6.4,11,8393
"421",7380.4,288105,5.5,8.9,8390
"422",7401.5,288360,5.4,9,8304
"423",7391,288618,5.7,9.5,8251
"424",7430.7,288870,5.7,9.6,8307
"425",7459.7,289106,5.7,9.3,8520
"426",7512.8,289313,5.5,9.6,8640
"427",7533.1,289518,5.5,9.6,8520
"428",7535.9,289714,5.6,9.5,8618
"429",7598.4,289911,5.3,9.7,8588
"430",7621,290125,5.3,10.2,8842
"431",7628.1,290346,5.8,9.9,8957
"432",7678.6,290584,5.6,11.5,9266
"433",7738.2,290820,6.3,10.3,9011
"434",7834.5,291072,6,10.1,8896
"435",7835,291321,5.2,10.2,8921
"436",7845.7,291574,5.3,10.4,8732
"437",7899.6,291807,5.4,10.3,8576
"438",7929.2,292008,5.4,10.4,8317
"439",7987.4,292192,5,10.6,8370
"440",8019.8,292368,5,10.2,8167
"441",8076,292561,4.9,10.2,8491
"442",8088.6,292779,5.3,9.5,8170
"443",8163.2,292997,5.3,9.9,8212
"444",8147.2,293223,5.8,11,8286
"445",8218.9,293463,5.3,8.9,8136
"446",8253.1,293719,5.2,9.2,7990
"447",8321.1,293971,4.6,9.6,7927
"448",8374.6,294230,4.5,9.5,8061
"449",8420.6,294466,4.1,9.7,7932
"450",8481.5,294694,6.9,9.5,7934
"451",8470.2,294914,3.7,9.4,7784
"452",8529.2,295105,3.4,9.2,7980
"453",8569.5,295287,3.6,9.3,7737
"454",8645.6,295490,3.1,9,7672
"455",8643.9,295704,3.5,9.1,7651
"456",8724.8,295936,2.9,9,7524
"457",8829.5,296186,2.2,8.8,7406
"458",8832.4,296440,2.7,9.2,7345
"459",8885.8,296707,2.7,8.4,7553
"460",8926.6,296972,3.1,8.6,7453
"461",8938.5,297207,3.5,8.5,7566
"462",8969.6,297431,3.7,8.7,7279
"463",9059.8,297647,4.2,8.6,7064
"464",9090.1,297854,4.2,9.1,7184
"465",9122.1,298060,4.2,8.7,7072
"466",9174.8,298281,4,8.4,7120
"467",9215.1,298496,3.8,8.5,6980
"468",9240.8,298739,4,7.3,7001
"469",9322.6,298996,3.4,8,7175
"470",9321.8,299263,3.6,8.4,7091
"471",9354.7,299554,3.6,8,6847
"472",9373.2,299835,3.6,7.9,6727
"473",9380.2,300094,3.9,8.3,6872
"474",9469,300340,3.7,7.5,6762
"475",9516.3,300574,3.7,8.3,7116
"476",9546.8,300802,4.1,8.5,6927
"477",9585.1,301021,4.4,9.1,6731
"478",9615.7,301254,4.2,8.6,6850
"479",9651.3,301483,4,8.2,6766
"480",9667.3,301739,3.8,7.7,6979
"481",9709.6,302004,3.7,8.7,7149
"482",9753.9,302267,3.4,8.8,7067
"483",9797.9,302546,3.5,8.7,7170
"484",9827,302807,3.4,8.4,7237
"485",9897.8,303054,3.1,8.6,7240
"486",9908.4,303287,3.6,8.4,7645
"487",9930,303506,3.7,9,7685
"488",9913.4,303711,4.1,8.7,7497
"489",9959.4,303907,4,8.7,7822
"490",9996.8,304117,3.4,9.4,7637
"491",10053.8,304323,7.8,7.9,8395
"492",10107.9,304556,5.5,9,8575
"493",10104.7,304798,4.4,9.7,8937
"494",10094.7,305045,3.8,9.7,9438
"495",10043.5,305309,4.7,10.2,9494
"496",9960.3,305554,5.5,10.4,10074
"497",9820.8,305786,6.4,9.8,10538
"498",9730.7,306004,6.4,10.5,11286
"499",9783.8,306208,6.2,10.7,12058
"500",9766,306402,5.5,11.7,12898
"501",9718.5,306588,5.9,12.3,13426
"502",9724.8,306787,6.8,13.1,13853
"503",9748.9,306984,8.2,14.2,14499
"504",9806.9,307206,6.7,17.2,14707
"505",9841.7,307439,6,16,14601
"506",9961,307685,4.9,16.3,14814
"507",9883.4,307946,5.9,17.8,15009
"508",9931.9,308189,5.4,18.9,15352
"509",9940.5,308418,5.9,19.8,15219
"510",9998.9,308633,5.9,20.1,15098
"511",10001.8,308833,6.1,20,15046
"512",10030.6,309027,5.8,19.9,15113
"513",10089.1,309212,5.7,20.4,15202
"514",10112.9,309191.211,6.4,22.1,15325
"515",10131,309369.053,7,22.3,14849
"516",10151.4,309548.502,6.9,25.2,14474
"517",10184.7,309745.698,6.8,22.3,14512
"518",10228.2,309957.775,6.9,21,14648
"519",10249,310176.466,6.7,20.3,14579
"520",10304.7,310399.958,6.6,21.2,14516
"521",10354.7,310595.764,6.6,21,15081
"522",10392.1,310781.705,7.1,21.9,14348
"523",10435.5,310960.74,7.4,21.5,14013
"524",10470.1,311113.376,7.6,21.1,13820
"525",10550.5,311265.404,7,21.5,13737
"526",10587.6,311436.238,6.9,20.9,13957
"527",10612,311607.08,6.9,21.6,13855
"528",10636.8,311791.223,7.2,22.4,13962
"529",10677.5,311997.049,7.3,22,13763
"530",10700.6,312205.367,7.2,22.4,13818
"531",10738.1,312429.118,6.8,22,13948
"532",10753.1,312644.159,6.8,20.6,13594
"533",10759.5,312829.523,7,20.8,13302
"534",10772.2,313009.712,7.8,20.5,13093
"535",10862.1,313183.179,8,20.8,12797
"536",10953.5,313338.977,8,19.7,12813
"537",10951.8,313499.369,8.5,19.2,12713
"538",10979.7,313667.127,8.7,19.1,12646
"539",10968.6,313830.53,8.8,19.9,12660
"540",10946.3,314017.594,9.1,20.4,12692
"541",10977.2,314210.786,8.2,17.5,12656
"542",11004.1,314422.341,8,18.4,12471
"543",11061.5,314646.749,8.2,18.8,12115
"544",11099.8,314853.978,8.8,19.9,12124
"545",11136.8,315053.863,9.7,18.6,12005
"546",11140.5,315232.752,12,17.7,12298
"547",11202.8,315389.595,6.3,15.8,12471
"548",11239.6,315520.143,5.8,17.2,11950
"549",11227.1,315662.224,5.9,17.6,11689
"550",11205.4,315817.855,6.4,17.1,11760
"551",11244.6,315983.654,6.7,17.1,11654
"552",11268.8,316171.042,6.8,17,11751
"553",11296.7,316358.778,6.6,16.2,11335
"554",11329.2,316580.327,6.7,16.5,11279
"555",11366.9,316806.125,6.8,16.5,11270
"556",11419.8,317022.27,6.3,16.3,11136
"557",11487.6,317228.026,6.2,17.1,10787
"558",11517.9,317411.551,6.4,17.3,10404
"559",11512.5,317593.923,7.1,15.4,10202
"560",11566.2,317753.883,7.3,15.9,10349
"561",11643,317917.203,7.4,15.8,10380
"562",11702.6,318089.218,7.4,15.7,9702
"563",11748.4,318269.505,7.4,14.6,9859
"564",11817,318464.152,7.4,13.8,9460
"565",11860.5,318662.368,7.5,13.1,9608
"566",11944.3,318893.786,7.2,12.9,9599
"567",11957.4,319125.296,7.4,13.4,9262
"568",12023,319353.734,7.2,13.6,8990
"569",12051.4,319564.209,7.3,13,9090
"570",12062,319746.157,7.6,12.9,8717
"571",12046,319928.646,7.7,13.2,8903
"572",12082.4,320074.511,7.9,12.9,8610
"573",12158.3,320230.786,7.4,12,8504
"574",12193.8,320402.295,7.6,11.5,8526
